id,cost,status
327,2000000,0
328,2000000,0
329,2000000,0
330,14529281,0
331,14529281,0
332,14372667,0
333,16421396,0
334,2000000,0
335,2000000,0
336,2000000,0
337,14907862,0
338,35291916,0
339,36874504,0
340,40928548,0
341,45378552,0
342,40275008,0
343,40275008,0
344,11208673,0
345,12216935,0
346,12216935,0
347,2000000,0
348,2000000,0
349,2000000,0
350,2000000,0
351,2000000,0
352,2000000,0
353,2000000,0
354,2000000,0
355,2000000,0
356,2000000,0
357,2000000,0
358,2000000,0
359,2000000,0
360,2000000,0
361,2000000,0
362,2000000,0
363,2000000,0
364,2000000,0
365,2000000,0
366,2000000,0
367,2000000,0
368,14529281,0
369,14529281,0
370,16421396,0
371,16421396,0
372,25688112,0
373,32850514,0
374,32850514,0
375,34284944,0
376,39486316,0
377,40928548,0
378,40928548,0
379,45378552,0
380,40275008,0
381,11208673,0
382,11692307,0
383,12216935,0
384,12216935,0
385,0,0
386,0,0
387,2000000,0
388,2000000,0
389,2000000,0
390,2000000,0
391,2000000,0
392,2000000,0
393,2000000,0
394,2000000,0
395,2000000,0
396,2000000,0
397,2000000,0
398,2000000,0
399,2000000,0
400,2000000,0
401,2000000,0
402,2000000,0
403,2000000,0
404,2000000,0
405,2000000,0
406,14529281,0
407,14529281,0
408,14529281,0
409,16421396,0
410,2000000,0
411,25688112,0
412,32850514,0
413,39556252,0
414,39486316,0
415,39486316,0
416,40928548,0
417,45378552,0
418,40275008,0
419,40275008,0
420,11208673,0
421,11692307,0
422,12216935,0
423,2000000,0
424,0,0
425,2000000,0
426,2000000,0
427,2000000,0
428,2000000,0
429,2000000,0
430,2000000,0
431,2000000,0
432,2000000,0
433,2000000,0
434,2000000,0
435,2000000,0
436,2000000,0
437,2000000,0
438,2000000,0
439,2000000,0
440,2000000,0
441,2000000,0
442,2000000,0
443,2000000,0
444,2000000,0
445,2000000,0
446,14529281,0
447,14529281,0
448,14529281,0
449,2000000,0
450,25688112,0
451,32850514,0
452,39556252,0
453,39556252,0
454,46903688,0
455,46903688,0
456,40928548,0
457,27784076,0
458,27784076,0
459,13766180,0
460,11208673,0
461,11692307,0
462,11692307,0
463,0,0
464,0,0
465,0,0
466,2000000,0
467,2000000,0
468,2000000,0
469,2000000,0
470,2000000,0
471,2000000,0
472,2000000,0
473,2000000,0
474,2000000,0
475,2000000,0
476,2000000,0
477,2000000,0
478,2000000,0
479,2000000,0
480,2000000,0
481,2000000,0
482,2000000,0
483,2000000,0
484,2000000,0
485,14529281,0
486,14529281,0
487,14529281,0
488,2000000,0
489,2000000,0
490,25688112,0
491,32850514,0
492,39556252,0
493,46903688,0
494,46903688,0
495,40928548,0
496,40928548,0
497,27784076,0
498,27784076,0
499,11208673,0
500,11692307,0
501,11692307,0
502,0,0
503,2000000,0
504,0,0
505,0,0
506,2000000,0
507,2000000,0
508,2000000,0
509,2000000,0
510,2000000,0
511,2000000,0
512,2000000,0
513,2000000,0
514,2000000,0
515,2000000,0
516,2000000,0
517,2000000,0
518,2000000,0
519,2000000,0
520,11891601,0
521,11891601,0
522,2000000,0
523,2000000,0
524,2000000,0
525,2000000,0
526,14529281,0
527,14529281,0
528,14529281,0
529,20296298,0
530,31024882,0
531,33364626,0
532,45838996,0
533,45838996,0
534,46903688,0
535,46903688,0
536,40928548,0
537,27784076,0
538,27784076,0
539,22553582,0
540,10578634,0
541,0,0
542,11692307,0
543,0,0
544,0,0
545,6382065,0
546,2000000,0
547,2000000,0
548,2000000,0
549,2000000,0
550,2000000,0
551,2000000,0
552,2000000,0
553,2000000,0
554,2000000,0
555,2000000,0
556,2000000,0
557,2000000,0
558,2000000,0
559,11891601,0
560,11891601,0
561,11891601,0
562,2000000,0
563,2000000,0
564,2000000,0
565,14529281,0
566,14529281,0
567,14529281,0
568,11661322,0
569,20296298,0
570,31024882,0
571,33364626,0
572,45838996,0
573,46903688,0
574,46903688,0
575,46903688,0
576,40928548,0
577,27784076,0
578,27784076,0
579,21299974,0
580,0,0
581,0,0
582,0,0
583,0,0
584,0,0
585,0,0
586,6382065,0
587,2000000,0
588,2000000,0
589,2000000,0
590,2000000,0
591,2000000,0
592,2000000,0
593,2000000,0
594,2000000,0
595,2000000,0
596,2000000,0
597,2000000,0
598,2000000,0
599,2000000,0
600,11891601,0
601,11891601,0
602,11891601,0
603,2000000,0
604,2000000,0
605,2000000,0
606,2000000,0
607,2000000,0
608,2000000,0
609,11661322,0
610,20296298,0
611,31024882,0
