id1	id2	boundary
236	275	1241
236	313	1241
237	275	1241
237	276	1241
237	314	1241
238	276	1241
238	277	1241
238	315	1241
239	277	1241
239	278	1241
239	316	1241
240	278	1241
240	279	1241
240	317	1241
241	279	1241
241	280	1241
241	318	1241
242	280	1241
242	281	1241
242	319	1241
243	281	1241
243	282	1241
243	320	1241
244	282	1241
244	283	1241
244	321	1241
245	283	1241
245	284	1241
245	322	1241
246	284	1241
246	285	1241
246	323	1241
247	285	1241
247	286	1241
247	324	1241
248	286	1241
248	287	1241
248	325	1241
249	287	1241
249	288	1241
249	326	1241
250	288	1241
250	289	1241
250	327	1241
251	289	1241
251	290	1241
251	328	1241
252	290	1241
252	291	1241
252	329	1241
253	291	1241
253	292	1241
253	330	1241
254	292	1241
254	293	1241
254	331	1241
255	293	1241
255	294	1241
255	332	1241
256	294	1241
256	295	1241
256	333	1241
257	295	1241
257	296	1241
257	334	1241
258	296	1241
258	297	1241
258	335	1241
259	297	1241
259	298	1241
259	336	1241
260	298	1241
260	299	1241
260	337	1241
261	299	1241
261	300	1241
261	338	1241
262	300	1241
262	301	1241
262	339	1241
263	301	1241
263	302	1241
263	340	1241
264	302	1241
264	303	1241
264	341	1241
265	303	1241
265	304	1241
265	342	1241
266	304	1241
266	305	1241
266	343	1241
267	305	1241
267	306	1241
267	344	1241
268	306	1241
268	307	1241
268	345	1241
269	307	1241
269	308	1241
269	346	1241
270	308	1241
270	309	1241
270	347	1241
271	271	1241
271	310	1241
272	272	1241
272	311	1241
272	348	1241
273	311	1241
273	312	1241
273	349	1241
274	312	1241
274	313	1241
274	350	1241
275	313	1241
275	314	1241
275	351	1241
276	314	1241
276	315	1241
276	352	1241
277	315	1241
277	316	1241
277	353	1241
278	316	1241
278	317	1241
278	354	1241
279	317	1241
279	318	1241
279	355	1241
280	318	1241
280	319	1241
280	356	1241
281	319	1241
281	320	1241
281	357	1241
282	320	1241
282	321	1241
282	358	1241
283	321	1241
283	322	1241
283	359	1241
284	322	1241
284	323	1241
284	360	1241
285	323	1241
285	324	1241
285	361	1241
286	324	1241
286	325	1241
286	362	1241
287	325	1241
287	326	1241
287	363	1241
288	326	1241
288	327	1241
288	364	1241
289	327	1241
289	328	1241
289	365	1241
290	328	1241
290	329	1241
290	366	1241
291	329	1241
291	330	1241
291	367	1241
292	330	1241
292	331	1241
292	368	1241
293	331	1241
293	332	1241
293	369	1241
294	332	1241
294	333	1241
294	370	1241
295	333	1241
295	334	1241
295	371	1241
296	334	1241
296	335	1241
296	372	1241
297	335	1241
297	336	1241
297	373	1241
298	336	1241
298	337	1241
298	374	1241
299	337	1241
299	338	1241
299	375	1241
300	338	1241
300	339	1241
300	376	1241
301	339	1241
301	340	1241
301	377	1241
302	340	1241
302	341	1241
302	378	1241
303	341	1241
303	342	1241
303	379	1241
304	342	1241
304	343	1241
304	380	1241
305	343	1241
305	344	1241
305	381	1241
306	344	1241
306	345	1241
306	382	1241
307	345	1241
307	346	1241
307	383	1241
308	346	1241
308	347	1241
308	384	1241
309	309	1241
309	347	1241
309	385	1241
310	310	1241
310	386	1241
311	348	1241
311	349	1241
311	387	1241
312	349	1241
312	350	1241
312	388	1241
313	350	1241
313	351	1241
313	389	1241
314	351	1241
314	352	1241
314	390	1241
315	352	1241
315	353	1241
315	391	1241
316	353	1241
316	354	1241
316	392	1241
317	354	1241
317	355	1241
317	393	1241
318	355	1241
318	356	1241
318	394	1241
319	356	1241
319	357	1241
319	395	1241
320	357	1241
320	358	1241
320	396	1241
321	358	1241
321	359	1241
321	397	1241
322	359	1241
322	360	1241
322	398	1241
323	360	1241
323	361	1241
323	399	1241
324	361	1241
324	362	1241
324	400	1241
325	362	1241
325	363	1241
325	401	1241
326	363	1241
326	364	1241
326	402	1241
327	364	1241
327	365	1241
327	403	1241
328	365	1241
328	366	1241
328	404	1241
329	366	1241
329	367	1241
329	405	1241
330	367	1241
330	368	1241
330	406	1241
331	368	1241
331	369	1241
331	407	1241
332	369	1241
332	370	1241
332	408	1241
333	370	1241
333	371	1241
333	409	1241
334	371	1241
334	372	1241
334	410	1241
335	372	1241
335	373	1241
335	411	1241
336	373	1241
336	374	1241
336	412	1241
337	374	1241
337	375	1241
337	413	1241
338	375	1241
338	376	1241
338	414	1241
339	376	1241
339	377	1241
339	415	1241
340	377	1241
340	378	1241
340	416	1241
341	378	1241
341	379	1241
341	417	1241
342	379	1241
342	380	1241
342	418	1241
343	380	1241
343	381	1241
343	419	1241
344	381	1241
344	382	1241
344	420	1241
345	382	1241
345	383	1241
345	421	1241
346	383	1241
346	384	1241
346	422	1241
347	384	1241
347	385	1241
347	423	1241
348	348	1241
348	387	1241
348	426	1241
349	387	1241
349	388	1241
349	427	1241
350	388	1241
350	389	1241
350	428	1241
351	389	1241
351	390	1241
351	429	1241
352	390	1241
352	391	1241
352	430	1241
353	391	1241
353	392	1241
353	431	1241
354	392	1241
354	393	1241
354	432	1241
355	393	1241
355	394	1241
355	433	1241
356	394	1241
356	395	1241
356	434	1241
357	395	1241
357	396	1241
357	435	1241
358	396	1241
358	397	1241
358	436	1241
359	397	1241
359	398	1241
359	437	1241
360	398	1241
360	399	1241
360	438	1241
361	399	1241
361	400	1241
361	439	1241
362	400	1241
362	401	1241
362	440	1241
363	401	1241
363	402	1241
363	441	1241
364	402	1241
364	403	1241
364	442	1241
365	403	1241
365	404	1241
365	443	1241
366	404	1241
366	405	1241
366	444	1241
367	405	1241
367	406	1241
367	445	1241
368	406	1241
368	407	1241
368	446	1241
369	407	1241
369	408	1241
369	447	1241
370	408	1241
370	409	1241
370	448	1241
371	409	1241
371	410	1241
371	449	1241
372	410	1241
372	411	1241
372	450	1241
373	411	1241
373	412	1241
373	451	1241
374	412	1241
374	413	1241
374	452	1241
375	413	1241
375	414	1241
