"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
29,15722043461.818979,14367551569.000000,3878,11440779.000000,45611714.000000,7804649.000000,11440779.000000,26366286.000000,0.171111,1240084102.818979,1223246000.000000,10,0.547302
30,15850151893.789648,14504555804.000000,3880,11413477.000000,45611714.000000,7825746.000000,11413477.000000,26372491.000000,0.171573,1231461319.789647,1216575000.000000,11,0.578612
31,15783584632.042133,14519446075.000000,3879,11557433.000000,45611714.000000,7746322.000000,11557433.000000,26307959.000000,0.169832,1148564227.042134,1194955000.000000,11,0.564191
32,15600341123.965826,14270386885.000000,3901,11526408.000000,45611714.000000,7828228.000000,11526408.000000,26257078.000000,0.171628,1214690158.965826,1199245000.000000,10,0.596236
33,15824753591.859711,14354359565.000000,3881,11682774.000000,45611714.000000,7678067.000000,11682774.000000,26250873.000000,0.168335,1353566286.859711,1276307000.000000,10,0.562664
34,15585003629.386234,14242689251.000000,3873,11460635.000000,45611714.000000,7779829.000000,11460635.000000,26371250.000000,0.170566,1227708028.386235,1218141000.000000,9,0.563663
35,15751898509.412083,14473645159.000000,3886,11398585.000000,45611714.000000,7849325.000000,11398585.000000,26363804.000000,0.172090,1164267500.412083,1187078000.000000,10,0.580954
36,15614585370.033709,14295945748.000000,3876,11543782.000000,45611714.000000,7746322.000000,11543782.000000,26321610.000000,0.169832,1203201802.033708,1208838000.000000,10,0.553985
37,15588340640.223614,14301420313.000000,3875,11443261.000000,45611714.000000,7789757.000000,11443261.000000,26378696.000000,0.170784,1172487717.223614,1207683000.000000,9,0.525959
38,15777853876.881453,14431654493.000000,3881,11397344.000000,45611714.000000,7829469.000000,11397344.000000,26384901.000000,0.171655,1232225943.881452,1220479000.000000,12,0.550046
39,15773584908.944925,14379548438.000000,3865,11465599.000000,45611714.000000,7740117.000000,11465599.000000,26405998.000000,0.169696,1279380480.944926,1272454000.000000,11,0.554949
